Genes,Gene_type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
NHLRC2,0,-0.10637266,0.10645638,0.048624653,0.0033854118,0.103635006,-0.25530824,0.07243823,0.38240698,-0.15234856,0.056989383,-0.15208293,-0.21657383,-0.01997874,0.08766066,0.009283151,-0.1244594,0.01307947,-0.23525076,-0.017850043,-0.37628886,0.038900156,0.13175426,0.12583615,-0.06534571,-0.05756891,-0.014701179,-0.1986373,-0.2029995,-0.08375334,0.010391994,0.27105477,0.060882363,0.07132199,0.0029688862,-0.092959784,0.2138283,-0.061651256,-0.27082652,-0.23909299,-0.36397946,-0.08358304,-0.12169726,0.02013308,-0.03336485,0.16627458,-0.11707714,-0.10211454,0.06595509,0.09062398,0.08508483,0.11845201,-0.2019721,-0.06548232,0.01997447,-0.23306462,0.14059174,0.122344255,-0.01320172,-0.23384467,0.041003734,0.026481727,0.09124125,-0.15255754,-0.12310828,-0.32808685,0.02176758,0.07071594,0.11776852,-0.23959221,0.13520147,-0.12049398,-0.060317438,0.18125656,-0.12590058,0.04160146,0.13012953,-0.069289535,-0.03779773,-0.13786706,0.17658837,-0.011410995,-0.15329716,-0.15929577,0.32308257,0.017816843,0.073444895,-0.1197593,0.37187672,0.18731211,0.038171805,0.24988918,0.042495776,-0.108521655,0.02207369,0.24077511,0.24895245,0.014303132,-0.30309787,0.14111792,-0.1435771
IGHV3-13,0,-0.118320055,0.12572315,0.04911958,-0.0018975759,0.13103674,-0.29710948,0.07455427,0.42293286,-0.16551444,0.069320165,-0.17929679,-0.23197666,-0.022031527,0.10330447,0.004954804,-0.14831504,0.02187204,-0.25561392,-0.024498673,-0.42721087,0.040536832,0.1541417,0.1438171,-0.07580836,-0.07916566,-0.030221332,-0.2347831,-0.22822928,-0.08649196,0.015331975,0.3052043,0.06733272,0.07412522,0.00096269854,-0.111061655,0.2368554,-0.06366337,-0.3214242,-0.2779975,-0.42434508,-0.088556744,-0.14963068,0.020962296,-0.039364643,0.19393103,-0.1438464,-0.11940639,0.059523966,0.11306802,0.09760128,0.1369795,-0.23298901,-0.073316306,0.016215859,-0.2627825,0.15962282,0.12884365,-0.022071766,-0.26152614,0.067370616,0.030823125,0.09065029,-0.1870363,-0.14505732,-0.38729054,0.04865583,0.087620616,0.12916394,-0.26538354,0.15484935,-0.15173915,-0.07343533,0.21330816,-0.14419627,0.047556438,0.13099739,-0.09501728,-0.03749671,-0.14729726,0.20527467,-0.007852352,-0.18892092,-0.19391495,0.36782324,0.025263255,0.07869528,-0.13302703,0.41262278,0.20891479,0.03759455,0.2742166,0.03779055,-0.12137938,0.040483523,0.28028587,0.28128314,0.0044056,-0.3528692,0.15302807,-0.15342529
LINC01124,0,-0.14684458,0.12980479,0.06293337,0.0051519005,0.14140888,-0.32000923,0.0765486,0.47449735,-0.18779531,0.06637144,-0.19167644,-0.2637709,-0.020078298,0.10581974,0.0118067125,-0.16945156,0.03301353,-0.28147003,-0.02351605,-0.4716481,0.034315072,0.15248068,0.15279098,-0.0755491,-0.07943845,-0.027521478,-0.25146174,-0.23035048,-0.09151344,0.01611548,0.33419147,0.08305903,0.07905209,-0.0034798775,-0.120161176,0.26346073,-0.07989754,-0.34364614,-0.30589077,-0.4567798,-0.09366706,-0.14760943,0.011922082,-0.027162729,0.22736028,-0.1380291,-0.1291611,0.06750649,0.11798715,0.10246648,0.14902666,-0.23598987,-0.09151711,0.027062023,-0.28491318,0.16936466,0.15167217,-0.027128931,-0.28720376,0.067989364,0.025704676,0.10229964,-0.19249925,-0.16149348,-0.4130017,0.03300251,0.08659747,0.13763055,-0.30144736,0.18699518,-0.17230083,-0.07502862,0.23773862,-0.14337665,0.058286596,0.15508299,-0.09447237,-0.044477694,-0.16903551,0.22795154,-0.01145168,-0.19338098,-0.22082756,0.40656814,0.016260698,0.102413155,-0.13836814,0.45577887,0.23275268,0.05015466,0.31875244,0.05236427,-0.13211788,0.027726129,0.31620988,0.30286548,0.011343719,-0.3765357,0.17013873,-0.17471237
FBXL12,0,-0.12053819,0.10527056,0.049460053,0.009526819,0.10672009,-0.2663918,0.055826984,0.3789877,-0.15054911,0.045278683,-0.16598068,-0.20787114,-0.013312746,0.0883626,0.009010156,-0.12663184,0.011957731,-0.2387807,-0.025944857,-0.39048913,0.030558757,0.1372649,0.119472966,-0.080034256,-0.07318277,-0.021443808,-0.20990449,-0.19324322,-0.0837972,0.008376111,0.2772572,0.07068695,0.074430496,0.012732708,-0.10231993,0.22553827,-0.050011907,-0.29663455,-0.24642803,-0.37836573,-0.07191108,-0.13102841,0.016686268,-0.030313807,0.17715944,-0.13197026,-0.1010619,0.06461113,0.10492495,0.07613707,0.1393717,-0.1928229,-0.06307622,0.027277889,-0.2453053,0.1400465,0.121654965,-0.014891002,-0.24388497,0.060476072,0.030859191,0.08097149,-0.17143951,-0.12637816,-0.34812158,0.03410751,0.070753105,0.12753604,-0.23818968,0.15153852,-0.12684637,-0.06199137,0.19682628,-0.13516542,0.04083077,0.13025427,-0.072937585,-0.051210318,-0.12507673,0.17430337,0.003895837,-0.17215861,-0.17800201,0.34783238,0.023450824,0.07162675,-0.12770693,0.37958303,0.20291969,0.025879497,0.25469428,0.032596596,-0.12245339,0.0366248,0.24378441,0.24670088,0.011300642,-0.30689508,0.14987007,-0.14177616
LRRC4C,0,-0.13787106,0.11440352,0.052659463,0.0027384313,0.121091604,-0.29126316,0.079914495,0.44966877,-0.17590402,0.059807807,-0.18353483,-0.24540439,-0.029824372,0.110132426,0.023345811,-0.14738159,0.029645707,-0.27538124,-0.005622634,-0.43791807,0.026977578,0.14964974,0.15779527,-0.07345614,-0.074073,-0.028600652,-0.23713206,-0.221672,-0.09869986,0.0069326325,0.31503895,0.06347995,0.061791226,0.0038538459,-0.103112884,0.24437998,-0.05968561,-0.32264486,-0.28801745,-0.4199639,-0.082006,-0.14709637,0.024087327,-0.029215382,0.20479915,-0.12780437,-0.11065585,0.066699356,0.12126485,0.084368564,0.15661865,-0.23543029,-0.08414649,0.030968182,-0.2558789,0.14799902,0.14261127,-0.009809906,-0.2703356,0.054763842,0.03138784,0.09174371,-0.19609806,-0.13448273,-0.38676935,0.032248057,0.08995379,0.14829992,-0.26787657,0.16197772,-0.15744314,-0.06987482,0.22578652,-0.14168903,0.057249695,0.14520214,-0.09341366,-0.05677344,-0.14148723,0.20623821,0.008440133,-0.1863736,-0.19197081,0.38543555,0.014065219,0.077484064,-0.13552374,0.43505928,0.21392353,0.04600446,0.28685176,0.052719817,-0.13698266,0.021805486,0.28446263,0.2917565,0.015481945,-0.35019708,0.15969868,-0.15680283
DOP1A,0,-0.13238204,0.13025282,0.060793865,0.0169246,0.1368849,-0.29544622,0.07785368,0.44148397,-0.18011689,0.06072935,-0.18994817,-0.25058696,-0.028429337,0.095478214,0.0135731585,-0.14793581,0.0110620335,-0.27531394,-0.01806464,-0.43281242,0.042328257,0.1497295,0.144511,-0.08629377,-0.07549874,-0.012388726,-0.25099853,-0.22917357,-0.097409494,0.020043613,0.3260834,0.07878792,0.06993443,-0.0005996487,-0.12616313,0.24997498,-0.060540363,-0.330156,-0.29241008,-0.4344338,-0.08706403,-0.14751518,0.011385516,-0.029249014,0.21546079,-0.13570516,-0.12278389,0.067284144,0.12248869,0.08660743,0.14947213,-0.22730222,-0.09110268,0.014494472,-0.27202255,0.15838593,0.13176116,-0.019023394,-0.27368227,0.058273666,0.036595423,0.09171953,-0.18075551,-0.14744559,-0.40116102,0.037610605,0.08791027,0.13364859,-0.27834797,0.17874362,-0.14558868,-0.061642688,0.21146719,-0.142843,0.06337339,0.13783784,-0.0802237,-0.041636724,-0.1580364,0.20687245,0.0014702445,-0.19076961,-0.20105352,0.39343256,0.02116891,0.09477768,-0.14596024,0.42394188,0.23274988,0.039639097,0.28367403,0.05796465,-0.12752716,0.022813264,0.28075826,0.29463527,-0.0013968992,-0.35703975,0.17237838,-0.15881978
ASPA,0,-0.115343414,0.1029923,0.055333946,-0.0017452533,0.11419677,-0.23629671,0.051159155,0.36372933,-0.13922845,0.04667628,-0.14764184,-0.20500362,-0.009017849,0.07594655,0.01879401,-0.114349075,0.010065471,-0.2205823,-0.02173787,-0.34831372,0.029982895,0.1122579,0.11264871,-0.055741522,-0.05737042,-0.024310468,-0.19893748,-0.17944117,-0.07196514,0.0052860333,0.25281766,0.06741057,0.068412274,0.014103983,-0.103625596,0.19831912,-0.0620968,-0.26052663,-0.23204058,-0.34222838,-0.06838687,-0.12770024,0.01117294,-0.037404623,0.18028656,-0.11466456,-0.082992926,0.050564237,0.09535627,0.081980616,0.13295119,-0.1923897,-0.06827437,0.018527962,-0.21503666,0.13581237,0.10273099,-0.010807574,-0.21652862,0.039714985,0.026999949,0.07422282,-0.15641402,-0.12092248,-0.31387302,0.028914634,0.071243115,0.117420785,-0.22809233,0.13413408,-0.12330566,-0.054360878,0.17822665,-0.124456815,0.054697882,0.11364516,-0.073403776,-0.0334109,-0.11995842,0.18204206,-0.009383176,-0.15204065,-0.15591481,0.30831096,0.01870046,0.06620219,-0.101822115,0.35045752,0.18939945,0.02705838,0.23740914,0.041176457,-0.11202366,0.019814933,0.22848623,0.23902085,0.0065013766,-0.27835196,0.12241007,-0.12887141
BICDL1,0,-0.12541787,0.12314135,0.0652681,-0.0042099897,0.115556225,-0.28497458,0.07671309,0.410111,-0.16205716,0.053944413,-0.1827848,-0.22764201,-0.031083172,0.09524966,0.004858453,-0.15279865,0.015098331,-0.26141316,-0.015102386,-0.4055919,0.04585312,0.13494386,0.14972387,-0.076792315,-0.07787727,-0.008954832,-0.2360356,-0.21872495,-0.08576674,0.018069996,0.30398202,0.074770294,0.06265486,0.014638958,-0.09930002,0.2280741,-0.065547474,-0.31053862,-0.26936945,-0.3999889,-0.08136942,-0.13727134,0.020170346,-0.029372288,0.1997777,-0.13510199,-0.10603889,0.061681252,0.10278078,0.09919221,0.13433357,-0.20973234,-0.078745276,0.012460257,-0.2508154,0.14827734,0.12639426,-0.021660136,-0.261485,0.045131147,0.042224143,0.08118281,-0.17509736,-0.13088274,-0.37382546,0.03256872,0.08413542,0.13214813,-0.25770205,0.16912366,-0.15235542,-0.06989797,0.19947639,-0.13395037,0.059214003,0.13125472,-0.0778559,-0.05439517,-0.14945559,0.200077,-0.0018921242,-0.17033559,-0.18302816,0.36071825,0.030230876,0.07477832,-0.14269324,0.40748578,0.21092974,0.04321622,0.27468526,0.038747948,-0.12029981,0.022616955,0.2718019,0.26617986,0.006800274,-0.3358092,0.155612,-0.1506335
APBA1,0,-0.13213623,0.1281078,0.050309576,0.0041132644,0.13459124,-0.3108112,0.07910445,0.46386555,-0.18232411,0.06535116,-0.1847635,-0.25223538,-0.03567504,0.099179,0.01689681,-0.15915288,0.01617979,-0.28207523,-0.010502404,-0.45233953,0.03994497,0.15178688,0.1524216,-0.090449244,-0.084834486,-0.02251973,-0.25891525,-0.22865506,-0.09270281,0.018681793,0.32264122,0.063393764,0.08584902,0.0013585935,-0.12930237,0.25443622,-0.07033424,-0.33789477,-0.29450947,-0.45106032,-0.101338014,-0.1515629,0.03041291,-0.034809787,0.21429369,-0.14830989,-0.1185815,0.071202196,0.12170445,0.097272255,0.14442018,-0.24970292,-0.085058965,0.02668285,-0.27113286,0.17397797,0.13404357,-0.02513514,-0.28600287,0.05151711,0.04397664,0.10256455,-0.18616936,-0.14955172,-0.40342954,0.046778083,0.077187136,0.1502855,-0.27905217,0.16747189,-0.16312985,-0.07028433,0.22842956,-0.1587285,0.06713683,0.15067007,-0.10256699,-0.049790807,-0.16209042,0.2244736,-0.0022032293,-0.18776749,-0.20202541,0.40919888,0.026060177,0.0833687,-0.1356752,0.43431753,0.2370951,0.035079587,0.29217783,0.039712857,-0.13894612,0.039443877,0.29392034,0.29755563,0.015267789,-0.36526063,0.17142184,-0.15545703
NRIP1,0,-0.12705511,0.12514243,0.06184648,0.004612292,0.11977214,-0.28223532,0.082273506,0.43494213,-0.18184726,0.051769078,-0.16682588,-0.2515692,-0.017822398,0.10563351,0.0071685896,-0.15284322,0.019085202,-0.27627558,-0.008725517,-0.42408112,0.03935541,0.13479768,0.13949886,-0.081050925,-0.058028184,-0.028989093,-0.24067137,-0.217641,-0.0997197,0.012490328,0.31761765,0.068148874,0.07101379,-0.0017783103,-0.09961509,0.23490945,-0.059715316,-0.32477283,-0.26766658,-0.4197468,-0.091039106,-0.13660955,0.012772751,-0.03153669,0.2052877,-0.13192385,-0.10233191,0.073041275,0.118506625,0.09855404,0.15231411,-0.22868544,-0.083936326,0.03013967,-0.25915772,0.15527694,0.12313233,-0.02879835,-0.2577675,0.04971014,0.022953598,0.102104835,-0.18654385,-0.13201484,-0.3853745,0.047425617,0.07891588,0.13862497,-0.2708603,0.15790603,-0.15480785,-0.063196264,0.21787795,-0.13316819,0.05883534,0.14727102,-0.09854633,-0.04289929,-0.14051233,0.20180291,-0.00042383405,-0.18626902,-0.18695757,0.39012602,0.02051491,0.07344169,-0.1268919,0.4089664,0.206474,0.03267646,0.27740574,0.046389025,-0.12945615,0.018532686,0.2814995,0.29068813,0.02010131,-0.3376413,0.14841717,-0.15186289
TRAV12-2,0,-0.13188064,0.11104399,0.05798603,0.01148736,0.120345086,-0.2881819,0.080017194,0.43395314,-0.17618617,0.05472274,-0.17329973,-0.24685967,-0.035423324,0.0956098,0.010218851,-0.14045452,0.024317887,-0.2603575,-0.024609938,-0.41212642,0.028985737,0.13403705,0.14003013,-0.07617452,-0.0681137,-0.015139926,-0.22419742,-0.21232854,-0.08687854,0.019935254,0.31017792,0.076674014,0.07780396,0.0053106467,-0.11471142,0.24091932,-0.063084885,-0.32525006,-0.2793202,-0.4206686,-0.084015444,-0.13878159,0.019204373,-0.024378182,0.19473287,-0.13105331,-0.10405243,0.052506417,0.11471658,0.08769493,0.14054278,-0.21454905,-0.07087969,0.026463522,-0.25569922,0.15367122,0.12431569,-0.017559448,-0.26329812,0.05408267,0.042300202,0.08131996,-0.18398353,-0.14443253,-0.37353233,0.04373432,0.0876209,0.14403819,-0.26314133,0.16713594,-0.15276839,-0.07382618,0.21171069,-0.14948446,0.049668487,0.14800902,-0.07662019,-0.05312733,-0.15024696,0.20874205,-0.004455511,-0.18238713,-0.18340772,0.37817073,0.031959444,0.09090767,-0.1339757,0.40984774,0.21222393,0.045658167,0.27071783,0.052538652,-0.12929843,0.03829126,0.28343338,0.27757367,0.018102828,-0.33137798,0.15321945,-0.1591039
FAM228B,0,-0.12184479,0.12049282,0.04401695,0.014846548,0.10681457,-0.26514256,0.062358804,0.3877929,-0.15298489,0.05854266,-0.16884658,-0.22444095,-0.024777098,0.089954264,0.0060185725,-0.14182322,0.019941531,-0.2425936,-0.0146698905,-0.38858604,0.04255832,0.14110523,0.13525699,-0.08094614,-0.06859627,-0.023910189,-0.21345004,-0.20072156,-0.0914033,0.007058552,0.28308663,0.059858736,0.07388469,-0.0019166208,-0.108203694,0.21300608,-0.06469945,-0.30098525,-0.2520578,-0.3746172,-0.089632004,-0.13411559,0.02306594,-0.021827174,0.18695888,-0.13232045,-0.10726362,0.053996585,0.10755893,0.09171615,0.1414739,-0.19791251,-0.067586094,0.014386463,-0.23703647,0.13675699,0.12502089,-0.019470291,-0.24385315,0.04675442,0.030473089,0.0760229,-0.17007867,-0.13938297,-0.35564113,0.037929177,0.06258716,0.13525812,-0.23986693,0.15410742,-0.13900964,-0.05342626,0.18793923,-0.13813928,0.04062945,0.121561594,-0.0904453,-0.035460223,-0.13309696,0.18052284,-0.008331495,-0.16397178,-0.17921698,0.36223924,0.029261397,0.08626192,-0.1231205,0.3963981,0.19773977,0.036778275,0.25060552,0.04592201,-0.12305498,0.020801589,0.25349435,0.25453,0.0025916293,-0.3139274,0.14967066,-0.14979722
PHKA1,0,-0.1154461,0.11440721,0.053135354,0.002070687,0.111676306,-0.29334435,0.07654557,0.4123652,-0.14709687,0.050428204,-0.1735617,-0.24518931,-0.021364255,0.080844454,0.021934817,-0.13953327,0.0104818875,-0.25924805,-0.01223744,-0.41068122,0.019665005,0.12577207,0.14381847,-0.07978585,-0.0669477,-0.01365877,-0.21776305,-0.22216228,-0.084864005,0.024924647,0.30286512,0.058854666,0.07504609,0.010725112,-0.11434491,0.23257743,-0.060509462,-0.32057345,-0.26233822,-0.40630734,-0.066699274,-0.12798585,0.031354222,-0.031661984,0.19749093,-0.12734655,-0.1119944,0.057339262,0.09785359,0.09241875,0.13642931,-0.21600214,-0.09088076,0.031023208,-0.25350103,0.14448428,0.119222865,-0.0133396005,-0.2592654,0.053745825,0.026581151,0.08844198,-0.18061894,-0.13238731,-0.37951562,0.043667503,0.075781986,0.13239096,-0.25818637,0.16874863,-0.15103391,-0.052980375,0.20064123,-0.13281682,0.068433054,0.14034966,-0.0845859,-0.048113838,-0.12795149,0.19995706,-0.0070672426,-0.18951246,-0.17151639,0.34888658,0.032537315,0.09729519,-0.12829904,0.39142743,0.21921055,0.04420627,0.26369753,0.029619416,-0.11728555,0.03638231,0.28002238,0.27907848,-0.0012936568,-0.3314406,0.16366225,-0.12897602
SVEP1,0,-0.14012268,0.13936119,0.053442385,0.01495768,0.1363959,-0.30238798,0.06927877,0.462796,-0.17419477,0.076813124,-0.18544935,-0.26281536,-0.017481677,0.11022216,0.021705568,-0.15418933,0.016241623,-0.27505073,-0.01935263,-0.4431279,0.046079684,0.14751284,0.15277146,-0.094479375,-0.08014226,-0.019316256,-0.24718787,-0.23565361,-0.10923928,0.004826998,0.31661108,0.077502616,0.07212601,0.010947085,-0.12268402,0.26352787,-0.07335792,-0.35090348,-0.2889226,-0.4364015,-0.096905515,-0.15569495,0.0196491,-0.043334518,0.2099947,-0.14864148,-0.12160419,0.07168924,0.11208365,0.10300171,0.1508931,-0.24989678,-0.072644316,0.021370746,-0.2777153,0.15598014,0.14323278,-0.029215857,-0.27882892,0.067066595,0.03943428,0.08691935,-0.19536915,-0.14959288,-0.4100837,0.036448438,0.07555121,0.13356094,-0.2769631,0.18287967,-0.15439656,-0.07343921,0.21861447,-0.14671695,0.06450513,0.15877958,-0.086517446,-0.058268495,-0.15033798,0.22335179,-0.01067343,-0.19347522,-0.21344058,0.40562764,0.028733902,0.08409818,-0.13477646,0.43907836,0.23916206,0.044369746,0.30345172,0.05386848,-0.1365586,0.032110058,0.29361272,0.31133437,0.020856004,-0.35623175,0.16454932,-0.15578032
GABRA3,0,-0.1334671,0.119040355,0.058319855,0.011500631,0.1258643,-0.2846179,0.060566127,0.42428118,-0.15931746,0.06301517,-0.18464798,-0.23882857,-0.031445477,0.0889475,0.011053452,-0.14093786,0.013662448,-0.26317653,-0.010736245,-0.4043717,0.04447168,0.14484225,0.15349531,-0.07600991,-0.061206825,-0.023507219,-0.22452775,-0.22150423,-0.08770522,0.01978401,0.3062782,0.05890631,0.06769152,0.019157019,-0.10182998,0.22417194,-0.07297301,-0.3113169,-0.26273873,-0.39919138,-0.089395344,-0.14928389,0.025520347,-0.03625926,0.19218504,-0.14038874,-0.11867471,0.05800582,0.09509165,0.08446572,0.13830937,-0.22340707,-0.07846498,0.026537409,-0.25973254,0.1605936,0.12118039,-0.018283883,-0.2583217,0.05729652,0.03139792,0.091029204,-0.18476053,-0.14278586,-0.37136596,0.033209458,0.08567402,0.1302731,-0.26715285,0.16072091,-0.15220928,-0.058061037,0.19834603,-0.14357223,0.06473146,0.13478115,-0.07732099,-0.046730686,-0.14249104,0.20510997,0.00018588324,-0.18018748,-0.1970566,0.36576626,0.03142375,0.0844566,-0.12469372,0.4129033,0.2097519,0.030273419,0.2847434,0.033145253,-0.13808909,0.023525959,0.28223452,0.27916154,0.011339903,-0.3307264,0.15415056,-0.14987142
DHX36,0,-0.13053443,0.11951198,0.06167257,0.007763504,0.11839736,-0.2789815,0.060139745,0.41963437,-0.17491072,0.064587645,-0.18034555,-0.2444997,-0.029068425,0.100661814,0.017522115,-0.15166692,0.023669368,-0.2668452,-0.015365624,-0.4030304,0.02391299,0.13765192,0.14282413,-0.073516235,-0.07967834,-0.026649216,-0.23629452,-0.22042583,-0.09602715,0.017645437,0.3051904,0.061796144,0.081103705,0.007267546,-0.10176101,0.236807,-0.05679165,-0.3148314,-0.25799492,-0.39864,-0.07956383,-0.14521147,0.008934765,-0.043021515,0.1928555,-0.14005761,-0.11285274,0.068860345,0.11351754,0.09450489,0.14403151,-0.22877674,-0.067473516,0.026364285,-0.25081512,0.15289629,0.119461834,-0.018419802,-0.25869575,0.05997559,0.03210765,0.08713894,-0.16893739,-0.13878316,-0.36404145,0.035818636,0.08060771,0.12824436,-0.2575609,0.15094462,-0.1518362,-0.069515124,0.2001073,-0.14113377,0.049978297,0.12957741,-0.09298945,-0.05409474,-0.13922432,0.18996961,-0.005563604,-0.18620932,-0.19069058,0.36641026,0.025026517,0.08061145,-0.13221467,0.39699885,0.20976968,0.041474093,0.26672894,0.034056254,-0.12007146,0.036030997,0.2746607,0.2685122,0.008525797,-0.33312312,0.15658082,-0.1406802
MASTL,0,-0.11860757,0.114328735,0.051704183,-0.0028935398,0.10765223,-0.26644877,0.07511484,0.41499957,-0.16950108,0.06569339,-0.15846531,-0.22369988,-0.031208215,0.09240813,0.021050388,-0.13274199,0.016144194,-0.25468308,-0.023902444,-0.39987937,0.04498074,0.13726339,0.1387044,-0.069074556,-0.067803964,-0.023484394,-0.22099279,-0.21899952,-0.086608075,0.0020004164,0.3005269,0.06936179,0.07027094,0.004405592,-0.10112043,0.2186495,-0.057319216,-0.31061038,-0.26080126,-0.4042295,-0.072310045,-0.1328298,0.018986298,-0.02796389,0.18896244,-0.13171661,-0.097494096,0.0647118,0.11250962,0.08291347,0.14360681,-0.2130446,-0.07921997,0.02318387,-0.24837114,0.14673787,0.12742206,-0.01638807,-0.24338828,0.060280893,0.023692885,0.076432236,-0.16905068,-0.13957612,-0.35161948,0.041684646,0.08524094,0.1264823,-0.2538341,0.1664675,-0.1403777,-0.059696767,0.2073652,-0.13318078,0.05814576,0.1314774,-0.079213075,-0.042232558,-0.13491291,0.18411548,-0.01289595,-0.16700155,-0.17230372,0.36870512,0.033011798,0.07803723,-0.13227378,0.4010638,0.2069003,0.024489688,0.2669727,0.04638322,-0.113895394,0.031216426,0.26161504,0.25718647,0.00969432,-0.31230548,0.13951118,-0.14654413
FAAP24,0,-0.12019021,0.12144144,0.04985176,0.006414711,0.12543847,-0.28008327,0.0693894,0.41629386,-0.16677326,0.06408078,-0.16930176,-0.23312259,-0.029249756,0.08830499,0.0069924765,-0.1470232,0.027625838,-0.25688916,-0.011111011,-0.41160694,0.0416482,0.13249506,0.14313886,-0.066559836,-0.07698321,-0.018889353,-0.22080173,-0.21905184,-0.09114021,0.009978897,0.29632315,0.07189771,0.07436787,0.012151148,-0.11097423,0.23349947,-0.058752272,-0.30446845,-0.27026996,-0.38724285,-0.08646666,-0.14484797,0.013363019,-0.03431191,0.19076256,-0.1235217,-0.11019983,0.056366976,0.10970173,0.091745496,0.14013006,-0.21282162,-0.07137968,0.020203909,-0.2585715,0.1391798,0.1263053,-0.015047996,-0.2498315,0.063203804,0.041762374,0.08902424,-0.16823004,-0.14023072,-0.362518,0.042903535,0.06470632,0.1298156,-0.26462063,0.16096632,-0.1529626,-0.06606465,0.19851767,-0.13048546,0.052454483,0.13717906,-0.08938029,-0.04431501,-0.1342199,0.18962644,-0.003433229,-0.17730564,-0.19101664,0.35981095,0.01164805,0.077568986,-0.12068594,0.39710686,0.2077112,0.041201085,0.2629011,0.04002185,-0.12809101,0.023748178,0.27316436,0.26807943,0.01728531,-0.32193556,0.14075722,-0.13876331
RNF2,0,-0.13589218,0.12844817,0.06409128,0.012278202,0.12098229,-0.28066537,0.07489963,0.4222751,-0.16946642,0.05498217,-0.1675487,-0.23604715,-0.01373301,0.10254485,0.017870812,-0.15026736,0.018653806,-0.26214355,-0.015522357,-0.41980624,0.03624455,0.14178361,0.1344001,-0.07900094,-0.06788626,-0.020307112,-0.23975076,-0.21855585,-0.08969318,0.005179144,0.29739952,0.07054649,0.06342439,0.0025598796,-0.112753466,0.22865303,-0.057863276,-0.31832096,-0.27925006,-0.40838876,-0.0924934,-0.14332244,0.014377244,-0.0411077,0.21117379,-0.13774258,-0.118448064,0.064417094,0.11408591,0.0834964,0.13439587,-0.21553226,-0.08040043,0.027064204,-0.25778902,0.15192603,0.12608083,-0.030441048,-0.2621798,0.060094576,0.03875154,0.08252167,-0.17535914,-0.13366503,-0.3805908,0.042472776,0.07863257,0.13082762,-0.25711185,0.16939995,-0.15060806,-0.07001103,0.21169607,-0.14434859,0.0558012,0.14482419,-0.09102274,-0.05837111,-0.13826367,0.20431948,-0.006677741,-0.17194495,-0.18824546,0.39016622,0.021702737,0.09179331,-0.14264728,0.4090346,0.20924488,0.043438267,0.2766102,0.049717657,-0.13965975,0.035978343,0.28352147,0.28672576,0.010925652,-0.33285972,0.14925745,-0.15326142
ZNF687,0,-0.1227039,0.12703533,0.047039114,0.009626643,0.11796002,-0.28671536,0.0669363,0.4226637,-0.17389907,0.063368864,-0.16446044,-0.22957164,-0.025433132,0.09088637,0.01600808,-0.14045872,0.00870603,-0.264297,-0.005733412,-0.40527865,0.039514255,0.13159789,0.13502567,-0.07823501,-0.063764386,-0.009774282,-0.22240959,-0.21902986,-0.088311575,0.019125508,0.29119357,0.060450435,0.06520078,0.008720933,-0.10826021,0.2291507,-0.05784565,-0.30886838,-0.26490223,-0.4006284,-0.09218021,-0.13415289,0.0146890525,-0.035486374,0.1994972,-0.13123843,-0.11432035,0.06355531,0.10099741,0.084086545,0.14976855,-0.22120833,-0.07309849,0.027092097,-0.25819698,0.15028404,0.116832525,-0.014938384,-0.2540235,0.062650025,0.034217067,0.08426949,-0.17376672,-0.13774987,-0.38071787,0.035477914,0.08574404,0.12452658,-0.2630634,0.17110041,-0.13606118,-0.07243472,0.20347391,-0.14314316,0.05006762,0.143985,-0.07852011,-0.053027645,-0.15434372,0.19060759,-0.0075268596,-0.17787345,-0.18305264,0.37732923,0.032069743,0.09200464,-0.1289869,0.40017045,0.21768619,0.043724537,0.26894063,0.048712738,-0.13876157,0.026531285,0.2673408,0.278275,0.0067711165,-0.32916203,0.15365407,-0.14519624
